sk   | 0.01011596
sl   | 0.03441895
sm   | 0.01110289
sn   | 0.00296077
so   | 0.06550703
sp   | 0.00629164
sq   | 0.00012337
sr   | 0.00678510
ss   | 0.05687145
st   | 0.09437454
su   | 0.02282260
sv   | 0.00172712
sw   | 0.00296077
sx   | 0.00000000
sy   | 0.02652356
sz   | 0.00123365
t.   | 0.08671454
ta   | 0.18438061
tb   | 0.00017953
tc   | 0.00305206
td   | 0.00000000
te   | 0.12854578
tf   | 0.00035907
tg   | 0.00035907
th   | 0.11615799
ti   | 0.09551167
tj   | 0.00053860
tk   | 0.00000000
tl   | 0.02405745
tm   | 0.00071813
tn   | 0.00394973
to   | 0.11974865
tp   | 0.00000000
tq   | 0.00000000
tr   | 0.06319569
ts   | 0.00628366
tt   | 0.06714542
tu   | 0.01400359
tv   | 0.00269300
tw   | 0.00197487
tx   | 0.00035907
ty   | 0.06122083
tz   | 0.01885099
u.   | 0.04944179
ua   | 0.05199362
ub   | 0.03285486
uc   | 0.03285486
ud   | 0.04338118
ue   | 0.05390750
uf   | 0.00606061
ug   | 0.01499203
uh   | 0.01850080
ui   | 0.03859649
uj   | 0.00446571
uk   | 0.02966507
ul   | 0.09601276
um   | 0.04912281
un   | 0.08771930
uo   | 0.00318979
up   | 0.00510367
uq   | 0.00318979
ur   | 0.13205742
us   | 0.15119617
ut   | 0.02615630
uu   | 0.00095694
uv   | 0.01180223
uw   | 0.02743222
ux   | 0.01084530
uy   | 0.00414673
uz   | 0.01435407
v.   | 0.03420132
va   | 0.24951419
vb   | 0.00038865
vc   | 0.00000000
vd   | 0.00038865
ve   | 0.22075398
vf   | 0.00000000
vg   | 0.00000000
vh   | 0.00038865
vi   | 0.35406141
vj   | 0.00000000
vk   | 0.00116595
vl   | 0.00544112
vm   | 0.00000000
vn   | 0.00310921
vo   | 0.05946366
vp   | 0.00000000
vq   | 0.00000000
vr   | 0.01865527
vs   | 0.00000000
vt   | 0.00000000
vu   | 0.00272056
vv   | 0.00272056
vw   | 0.00000000
vx   | 0.00000000
vy   | 0.04702682
vz   | 0.00000000
w.   | 0.05489774
wa   | 0.30139935
wb   | 0.00107643
wc   | 0.00000000
wd   | 0.00861141
we   | 0.16038751
wf   | 0.00215285
wg   | 0.00107643
wh   | 0.02475780
wi   | 0.15931109
wj   | 0.00000000
wk   | 0.00645856
wl   | 0.01399354
wm   | 0.00215285
wn   | 0.06243272
wo   | 0.03875135
wp   | 0.00000000
wq   | 0.00000000
wr   | 0.02368138
ws   | 0.02152853
wt   | 0.00861141
wu   | 0.02691066
wv   | 0.00000000
ww   | 0.00215285
wx   | 0.00000000
wy   | 0.07857912
wz   | 0.00107643
x.   | 0.23529412
xa   | 0.14777618
xb   | 0.00143472
xc   | 0.00573888
xd   | 0.00717360
xe   | 0.05164993
xf   | 0.00430416
xg   | 0.00000000
xh   | 0.00143472
xi   | 0.14634146
xj   | 0.00000000
xk   | 0.00000000
xl   | 0.05595409
xm   | 0.00143472
xn   | 0.00143472
xo   | 0.05882353
xp   | 0.00000000
xq   | 0.00000000
xr   | 0.00000000
xs   | 0.04447633
xt   | 0.10043042
xu   | 0.00717360
xv   | 0.00000000
xw   | 0.00430416
xx   | 0.05451937
xy   | 0.04304161
xz   | 0.02725968
y.   | 0.20529869
ya   | 0.21921031
yb   | 0.00276187
yc   | 0.01176350
yd   | 0.02782324
ye   | 0.03078969
yf   | 0.00122750
yg   | 0.00306874
yh   | 0.00225041
yi   | 0.01963993
yj   | 0.00235270
yk   | 0.00879705
yl   | 0.11292962
ym   | 0.01513912
yn   | 0.18678396
yo   | 0.02772095
yp   | 0.00153437
yq   | 0.00061375
yr   | 0.02976678
ys   | 0.04101882
yt   | 0.01063830
yu   | 0.01442308
yv   | 0.01084288
yw   | 0.00040917
yx   | 0.00286416
yy   | 0.00235270
yz   | 0.00797872
z.   | 0.06672227
za   | 0.35863219
zb   | 0.00166806
zc   | 0.00083403
zd   | 0.00083403
ze   | 0.15554629
zf   | 0.00000000
zg   | 0.00041701
zh   | 0.01793161
zi   | 0.15179316
zj   | 0.00083403
zk   | 0.00083403
zl   | 0.05129274
zm   | 0.01459550
zn   | 0.00166806
zo   | 0.04587156
zp   | 0.00083403
zq   | 0.00000000
zr   | 0.01334445
zs   | 0.00166806
zt   | 0.00166806
zu   | 0.03044204
zv   | 0.00083403
zw   | 0.00125104
zx   | 0.00041701
zy   | 0.06130108
zz   | 0.01876564
